task,scope,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,wallpath_map_wins,baseline_map_wins,ties,wallpath_map_win_rate,baseline_map_win_rate,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,mean_wallpath_improvement_percent
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,high_wall_rmse,500,500,0,376,124,0,0.752,0.248,6.117624689264556,7.3046738671696385,1.187049177905082,0.2543877082934225,16.250543138417097
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,high_wall_rmse,4800,4800,0,4359,441,0,0.908125,0.091875,5.670614735058513,8.040610778544107,2.3699960434855947,0.9348373970871326,29.475323563848995
task3,overall,direct_extra_all_features,los_rmse,5550,5267,283,4585,682,0,0.87051452439719,0.12948547560280996,4.267835690126795,8.618509058463102,4.350673368336307,4.687048957269795,50.48058009597477
task3,Ant1-f1 source-like,direct_extra_all_features,los_rmse,250,238,12,1,237,0,0.004201680672268907,0.9957983193277311,1.3119460907450504,0.7498379802105131,-0.5621081105345371,-0.4222560948351591,-74.96394226079725
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,los_rmse,500,473,27,255,218,0,0.5391120507399577,0.4608879492600423,3.5844908001548075,3.1968536081387335,-0.38763719201607366,0.11166819888126955,-12.125584700819735
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,los_rmse,4800,4556,244,4329,227,0,0.9501755926251098,0.04982440737489025,4.493192111902388,9.592430644202246,5.099238532299857,5.361892383995926,53.15898255028703
task3,overall,direct_extra_all_features,mae,5550,5550,0,5368,182,0,0.9672072072072072,0.03279279279279279,3.735392966395742,6.197032780557781,2.4616398141620395,1.5114526947339377,39.72287869583405
task3,Ant1-f1 source-like,direct_extra_all_features,mae,250,250,0,95,155,0,0.38,0.62,1.9211883625984194,1.9084237107435862,-0.01276465185483297,-0.025579094886779785,-0.6688583768360162
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,mae,500,500,0,483,17,0,0.966,0.034,3.9200444399515786,5.083178366104762,1.163133926153183,0.5304102897644043,22.882020703996904
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,mae,4800,4800,0,4790,10,0,0.9979166666666667,0.0020833333333333333,3.810648261014786,6.536424337782793,2.7257760767680073,1.7402947743733725,41.70133295985817
task3,overall,direct_extra_all_features,nlos_rmse,5550,5550,0,4985,565,0,0.8981981981981982,0.1018018018018018,5.416795872557125,7.577861770673458,2.1610658981163335,0.9180359717855937,28.51814883295602
task3,Ant1-f1 source-like,direct_extra_all_features,nlos_rmse,250,250,0,55,195,0,0.22,0.78,3.0700441909051746,2.9892636186715227,-0.08078057223365227,-0.08204820498539211,-2.7023569192452843
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,nlos_rmse,500,500,0,381,119,0,0.762,0.238,5.897777252279109,7.009009884053019,1.1112326317739099,0.2368108653640837,15.85434533773735
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,nlos_rmse,4800,4800,0,4549,251,0,0.9477083333333334,0.05229166666666667,5.48892029558879,7.876106662613187,2.3871863670243982,1.1022364840869252,30.309218364906705
task3,overall,direct_extra_all_features,non_anchor_rmse,5550,5550,0,5159,391,0,0.9295495495495496,0.07045045045045045,5.340235698565371,7.780186616367294,2.439950917801922,1.47747671951885,31.361084741450316
task3,Ant1-f1 source-like,direct_extra_all_features,non_anchor_rmse,250,250,0,50,200,0,0.2,0.8,2.9812526366649323,2.8905183083022017,-0.09073432836273018,-0.09145938897210626,-3.139033165855473
task3,Ant1-f2-f3 frequency shift,direct_extra_all_features,non_anchor_rmse,500,500,0,405,95,0,0.81,0.19,5.768429376428504,6.858242020262884,1.0898126438343811,0.2663709546062272,15.890553885594825
task3,Ant2-Ant5 additional antennas across frequencies,direct_extra_all_features,non_anchor_rmse,4800,4800,0,4704,96,0,0.98,0.02,5.418495891595276,8.130892736173228,2.7123968445779503,1.7166327244944881,33.359151726487184
task3,overall,direct_extra_all_features,p90_ae,5550,5550,0,5112,438,0,0.9210810810810811,0.07891891891891892,8.804805737343637,12.562371578689094,3.7575658413454582,2.3372430006663008,29.911277642191553
task3,Ant1-f1 source-like,direct_extra_all_features,p90_ae,250,250,0,55,195,0,0.22,0.78,4.808398335774738,4.7805582447052,-0.027840091069539354,-0.09522390365600586,-0.5823606709608199
