task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,overall,direct_extra_all_features,rmse,5,"B21,B22,B23,B24,B25",0.7007441043852038,0.5861045870691963,11.264497725198815,20000,0.95,0.24715088882109632,1.3188513024199302,5.20547913951647,17.745679589282055,1.0,5,0,0,0.0625,True
task2,overall,direct_extra_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",0.07635451973625726,0.09030963869583469,0.05915298242387283,20000,0.95,-0.3190030700346029,0.5047140309860152,-5.38845418427871,5.406293326001775,0.6103,3,2,0,1.0,False
task2,overall,direct_rf_all_features,free_space_rmse,5,"B21,B22,B23,B24,B25",0.1353350815092074,0.11479953324513259,3.0920872428331845,20000,0.95,0.026820537190966748,0.24786285129197752,0.16351008055122565,6.627051285884043,0.99345,4,1,0,0.375,True
task2,overall,direct_rf_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.13456739685727587,0.08623150638870837,2.7373615880528805,20000,0.95,0.007740489511265838,0.27352392792247443,-0.14725963330096112,6.29946649010474,0.98075,4,1,0,0.375,True
task2,overall,direct_rf_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.5688162845367649,-0.4189547953110528,-22.156851285378735,20000,0.95,-1.0855995266718041,-0.15545840734763938,-38.77350290576611,-6.842105668191219,0.0003,1,4,0,0.375,True
task2,overall,direct_rf_all_features,mae,5,"B21,B22,B23,B24,B25",0.17363831281661984,0.1648095480600993,5.870201134572613,20000,0.95,0.08309485191769068,0.2836239786677891,2.3561631264392093,11.16594894220136,1.0,5,0,0,0.0625,True
task2,overall,direct_rf_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",0.12181490640062223,0.09622153026833039,2.6421446841064826,20000,0.95,0.006414317952579543,0.24766866993212272,-0.1717908822578462,6.242154146788557,0.98205,4,1,0,0.375,True
task2,overall,direct_rf_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.10664676768778533,0.08433482040411021,2.4221002603954918,20000,0.95,-0.001035737715153584,0.22321669436681635,-0.27981516333705075,5.973646324093949,0.97285,4,1,0,0.375,False
task2,overall,direct_rf_all_features,p90_ae,5,"B21,B22,B23,B24,B25",0.29395596800910095,0.1754095225863986,3.7178095082254723,20000,0.95,0.07161731253729928,0.5301428541607326,0.7314805132991229,7.33946676782188,0.99645,4,1,0,0.375,True
task2,overall,direct_rf_all_features,rmse,5,"B21,B22,B23,B24,B25",0.10840184511525904,0.08537811528497447,2.465795149669346,20000,0.95,0.0005423665780214471,0.22480585065740008,-0.2708511908745585,5.922646322967454,0.97675,4,1,0,0.375,True
task2,overall,direct_rf_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",-0.17053285795730355,-0.20130172561867815,-2.550109661295177,20000,0.95,-0.26903239169259546,-0.05635816444891527,-4.331544654576148,-0.8790826192215995,0.00015,1,4,0,0.375,True
task2,overall,multi_wall_residual_idw,free_space_rmse,5,"B21,B22,B23,B24,B25",0.7798161783286423,0.8315823996020102,15.112581732665017,20000,0.95,0.6356220180210922,0.8903959153668785,10.814971033763328,18.353112518505224,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.7607692667000339,0.8488326025988772,13.401928353453965,20000,0.95,0.609801073743746,0.8894420726414112,10.0567615287523,15.431172397166808,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,los_rmse,5,"B21,B22,B23,B24,B25",2.179953708495512,2.1649898398079053,44.30911021858791,20000,0.95,1.8770659343810763,2.4207971539707502,39.768825384136896,49.29998531688121,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,mae,5,"B21,B22,B23,B24,B25",0.673246589448717,0.7630264393488566,18.69715891398024,20000,0.95,0.4836635780334472,0.8201145524978637,11.387460935325226,25.11123215346023,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,nlos_rmse,5,"B21,B22,B23,B24,B25",0.7601209364684955,0.8185213657312804,13.917532291905406,20000,0.95,0.6413239010525221,0.8742770180262907,10.453464491385464,16.215610085531655,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,non_anchor_rmse,5,"B21,B22,B23,B24,B25",0.8162850993361435,0.8453373443932588,15.137736644486022,20000,0.95,0.7028498265065893,0.9126875162571249,11.606312032963954,17.817434361908525,1.0,5,0,0,0.0625,True
task2,overall,multi_wall_residual_idw,p90_ae,5,"B21,B22,B23,B24,B25",0.8778053979873658,0.9895932790968154,10.608096598580016,20000,0.95,0.6637480092578464,1.0201086896260578,7.1059496885795,13.267749199908824,1.0,5,0,0,0.0625,True
