fold,anchor_fraction,anchor_seed,model_seed,adapted_method,baseline_method,test_count,adapted_rmse,baseline_rmse,rmse_improvement_percent,adapted_mae,baseline_mae,mae_improvement_percent,adapted_p90_ae,baseline_p90_ae,p90_improvement_percent,adapted_point_wins,baseline_point_wins,ties,adapted_point_win_percent
holdout_Comms,0.05,22,11,direct_rf_with_anchors,direct_rf,1318,7.851310149436834,10.04736235223407,21.857002124631588,6.294915542095736,7.891333862520892,20.23001875522194,13.096993452380943,17.4730496031746,25.044604406082566,801,517,0,60.77389984825493
holdout_Comms,0.05,33,11,direct_rf_with_anchors,direct_rf,1318,7.327229599043742,10.060826140145306,27.170696551387614,5.706815462033997,7.903739640028244,27.79600895338193,12.195167857142833,17.4730496031746,30.20584194457305,836,482,0,63.42943854324734
holdout_Comms,0.1,11,11,direct_rf_with_anchors,direct_rf,1248,7.448150697748639,9.937548485401592,25.050421553262513,5.807819819131345,7.830891090824687,25.83449633291079,12.267644155844144,17.061240079365106,28.096409764016077,730,518,0,58.493589743589745
holdout_Comms,0.1,22,11,direct_rf_with_anchors,direct_rf,1248,7.458749670482061,10.11483844514427,26.25932968743847,5.895525452430536,7.965778239666765,25.98933493939237,12.332632936507954,17.50077876984128,29.53094774410543,768,480,0,61.53846153846154
holdout_Comms,0.1,33,11,direct_rf_with_anchors,direct_rf,1248,7.444597060953777,10.015378449463634,25.6683399582123,5.738814810980928,7.87538143291449,27.129690671285616,11.976570598845557,17.474149603174602,31.461210583491155,749,499,0,60.016025641025635
holdout_Library,0.01,11,11,direct_rf_with_anchors,direct_rf,680,11.605434614335307,12.564254699761992,7.631332763771883,9.8376791505178,10.72420374755935,8.26657734140223,18.56121423160172,19.74818115079365,6.010512614445131,495,185,0,72.79411764705883
holdout_Library,0.01,22,11,direct_rf_with_anchors,direct_rf,680,11.631822502612216,12.588245555639073,7.597747031542566,9.904689738333985,10.744944083714207,7.819997375824138,18.13347440476192,19.845858441558438,8.628420089960338,464,216,0,68.23529411764706
holdout_Library,0.01,33,11,direct_rf_with_anchors,direct_rf,680,10.629432675977885,12.545857144258019,15.275357006254787,8.92863833272291,10.69188182795526,16.49142333973548,16.58587603519667,19.74818115079365,16.013146180147793,519,161,0,76.3235294117647
holdout_Library,0.05,11,11,direct_rf_with_anchors,direct_rf,653,7.993193479500235,12.533538903295176,36.22556612962078,6.567246038176681,10.688871234053732,38.55996676941849,12.70006659451663,19.736930158730154,35.65328299599286,523,130,0,80.09188361408881
holdout_Library,0.05,22,11,direct_rf_with_anchors,direct_rf,653,9.373806868553867,12.682715079690878,26.08990417545247,7.733833564221239,10.844354818930139,28.68332239811175,15.10647936507937,19.9528728778468,24.28920157231226,506,147,0,77.4885145482389
holdout_Library,0.05,33,11,direct_rf_with_anchors,direct_rf,653,8.603743680617603,12.650991059333306,31.991544059544918,7.041620872844821,10.82591419763634,34.95587768114546,14.0671249278499,19.85981197691198,29.167884649645064,509,144,0,77.947932618683
holdout_Library,0.1,11,11,direct_rf_with_anchors,direct_rf,618,7.5441411565325405,12.638665912474833,40.30903887501138,6.192093239938185,10.76943428488741,42.503077913503226,11.997746428571451,19.92064578157349,39.77230176107386,503,115,0,81.3915857605178
holdout_Library,0.1,22,11,direct_rf_with_anchors,direct_rf,618,7.94017004831226,12.613020925822019,37.0478325929299,6.416974320416152,10.755630071372234,40.33846201631723,13.005457287157293,19.875051948051947,34.56390795279394,452,166,0,73.13915857605178
holdout_Library,0.1,33,11,direct_rf_with_anchors,direct_rf,618,7.176819342227664,12.651053119717718,43.27097298293693,5.871002568754858,10.775514659605049,45.51533959891577,11.716683333333325,19.98700662525881,41.37849877666908,492,126,0,79.6116504854369
holdout_SSE,0.01,11,11,direct_rf_with_anchors,direct_rf,212,10.08339243847147,10.198514278359637,1.1288099104047433,7.9441692075813295,8.036861686060623,1.153341715959385,15.962582936507918,16.606256746031747,3.876092122191488,107,102,3,50.47169811320755
holdout_SSE,0.01,22,11,direct_rf_with_anchors,direct_rf,212,9.825201070170277,10.188556086387273,3.566305305051689,7.730982051529384,8.035137449957654,3.7853166834112164,15.820098519536028,16.606256746031747,4.73410858641325,115,84,13,54.24528301886793
holdout_SSE,0.01,33,11,direct_rf_with_anchors,direct_rf,212,10.214287244546389,10.21509949591918,0.007951477840380559,8.029531316947168,8.046821743193245,0.21487273855299993,16.60478293650792,16.606256746031747,0.008875025518190055,95,116,1,44.81132075471698
holdout_SSE,0.05,11,11,direct_rf_with_anchors,direct_rf,203,9.678627996365057,10.222248952486234,5.318017186315534,7.671851131192938,8.08230457069906,5.078420837964305,15.786524603174582,16.57372380952381,4.749682180035341,123,80,0,60.591133004926114
holdout_SSE,0.05,22,11,direct_rf_with_anchors,direct_rf,203,8.291537874659225,10.063764301220708,17.609975487467615,6.631329306547837,7.996325853975885,17.070296688189025,13.265310425685389,16.224242460317438,18.237720755648493,141,60,2,69.45812807881774
holdout_SSE,0.05,33,11,direct_rf_with_anchors,direct_rf,203,8.693160205883824,10.26182117032046,15.286379857929724,6.856007095499663,8.083712832075443,15.187399182518638,13.99232850877194,17.180029365079363,18.55468805418248,133,70,0,65.51724137931035
holdout_SSE,0.1,11,11,direct_rf_with_anchors,direct_rf,193,7.848102427728118,9.8909767914348,20.653919292134347,6.138810723749752,7.772206751740241,21.01585920401259,12.81616313131313,16.224242460317438,21.00609219407355,134,59,0,69.43005181347151
holdout_SSE,0.1,22,11,direct_rf_with_anchors,direct_rf,193,8.05582777292345,10.059400761670362,19.917418902139644,6.298219690855363,7.844377584338149,19.71039610038404,13.09704444444446,16.304325793650786,19.671352190811238,128,65,0,66.32124352331607
holdout_SSE,0.1,33,11,direct_rf_with_anchors,direct_rf,193,8.682242212747969,10.168913647532163,14.619766538631055,6.938067128669016,8.06794519175008,14.004533201792535,13.942693685300211,16.57372380952381,15.874707183860037,127,66,0,65.80310880829016
holdout_Comms,0.01,11,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1373,9.27424833917947,10.65771562573361,12.980898863670992,7.11169586134791,8.312829846253031,14.449158795744221,14.96617153355131,17.05690439693809,12.257399201710308,815,558,0,59.359067734887105
holdout_Comms,0.01,22,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1373,9.104200538726596,10.674591563902649,14.711485828521148,7.168727445800795,8.334384116751885,13.98611648589788,14.68108582284414,17.05690439693809,13.928779330676418,807,566,0,58.77640203932993
holdout_Comms,0.01,33,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1373,10.293464702248324,10.681203150232491,3.630100865329277,8.08420590273116,8.35016340842704,3.1850574975272217,16.150934235088357,17.084680815539304,5.46540254706814,840,531,2,61.17989803350328
holdout_Comms,0.05,11,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1318,7.404761595601783,10.506889804391129,29.52470489880724,5.8154049020637295,8.199848555279853,29.07911819518653,12.31525827803155,16.81407581536502,26.756258189476966,852,466,0,64.64339908952958
holdout_Comms,0.05,22,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1318,7.799390547587481,10.654939634714326,26.800237120286663,6.1904342093668365,8.306158648612028,25.471755702604266,13.262165675909218,17.073641875075612,22.323744559328322,803,515,0,60.925644916540215
holdout_Comms,0.05,33,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1318,8.183082554037986,10.684091256497766,23.40871715166918,6.31322041057742,8.353612480021846,24.425266007061534,13.033332128347881,17.246366639108253,24.42853384090072,881,437,0,66.84370257966617
holdout_Comms,0.1,11,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1248,7.576995756620128,10.692838104032134,29.13952607434561,5.971287033390287,8.365094198468931,28.616619350404733,12.289159328190971,17.13313000279955,28.272537906483375,805,443,0,64.50320512820514
holdout_Comms,0.1,22,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1248,7.189920965276892,10.654624588971252,32.51830784616027,5.664318286105605,8.309679416643883,31.834695394382468,11.651299851186213,17.3040288443532,32.66712650569602,831,417,0,66.58653846153845
holdout_Comms,0.1,33,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,1248,7.440554491421499,10.670210618151474,30.26796979279765,5.748072987499332,8.338632034008612,31.066954818774107,12.178933031884682,17.13313000279955,28.91588968335239,822,426,0,65.86538461538461
holdout_Library,0.01,11,11,wallpath_fewshot_residual_extra,wallpath_residual_extra,680,11.040366802901486,11.783524121985472,6.306749249126731,9.19586749312228,9.871940885112457,6.848434364206329,17.708424283735592,18.407592274143386,3.7982587836318777,467,213,0,68.67647058823529
